mem.bash 2908
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
1650.3, 730.7, 228692, 9380, 3048, 47.6, 0.5, 0:00.12
1596.4, 730.7, 255884, 36572, 3048, 50.0, 2.0, 0:00.66
1544.6, 730.7, 283208, 63764, 3048, 43.8, 3.4, 0:01.20
1491.1, 730.7, 310400, 90956, 3048, 50.0, 4.9, 0:01.74
1438.2, 730.7, 337988, 118676, 3048, 55.6, 6.3, 0:02.28
1383.4, 730.7, 364124, 144812, 3048, 38.9, 7.7, 0:02.79
1330.2, 730.7, 391448, 172268, 3048, 43.8, 9.2, 0:03.33
1278.0, 730.7, 418112, 198668, 3048, 56.2, 10.6, 0:03.86
1223.7, 730.7, 445172, 225860, 3048, 52.9, 12.1, 0:04.39
1169.0, 730.7, 473156, 253844, 3048, 50.0, 13.6, 0:04.93
1116.7, 730.7, 499952, 280772, 3048, 47.4, 15.0, 0:05.47
1063.7, 730.7, 527408, 308228, 3048, 52.9, 16.5, 0:06.01
1009.6, 730.7, 554864, 335684, 3048, 44.4, 17.9, 0:06.54
955.3, 730.7, 582848, 363668, 3048, 50.0, 19.4, 0:07.10
903.1, 730.8, 609644, 390332, 3048, 47.1, 20.9, 0:07.62
849.7, 730.8, 636308, 416996, 3048, 52.9, 22.3, 0:08.15
797.6, 730.8, 662312, 443132, 3048, 56.2, 23.7, 0:08.67
746.7, 730.8, 688712, 469268, 3048, 43.8, 25.1, 0:09.19
693.7, 730.8, 715640, 496196, 3048, 41.2, 26.5, 0:09.71
641.3, 730.8, 741644, 522332, 3048, 50.0, 27.9, 0:10.23
589.2, 730.8, 768704, 549524, 3048, 43.8, 29.4, 0:10.76
536.3, 730.8, 795500, 576188, 3048, 50.0, 30.8, 0:11.29
482.8, 730.8, 822560, 603116, 3048, 43.8, 32.2, 0:11.82
431.3, 730.8, 849488, 630044, 3048, 47.1, 33.7, 0:12.34
375.8, 730.8, 876548, 657236, 3048, 38.9, 35.1, 0:12.88
