mem.bash 2908
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
322.8, 730.8, 903740, 684428, 3048, 41.2, 36.6, 0:13.41
269.2, 730.8, 930800, 711356, 3048, 53.3, 38.0, 0:13.94
216.6, 730.8, 957464, 738020, 3048, 46.7, 39.4, 0:14.47
164.0, 730.8, 984392, 765212, 3048, 47.1, 40.9, 0:15.00
111.2, 730.8, 1010792, 791612, 3048, 43.8, 42.3, 0:15.52
58.7, 729.4, 1038776, 819596, 3048, 43.8, 43.8, 0:16.06
67.7, 549.7, 1125764, 819468, 1104, 45.0, 43.8, 0:17.84
67.8, 497.7, 1153352, 822116, 1104, 42.1, 43.9, 0:18.38
83.2, 449.9, 1179092, 826928, 1104, 38.9, 44.2, 0:18.89
74.3, 393.2, 1206152, 826236, 1104, 42.1, 44.2, 0:19.44
78.5, 347.7, 1231760, 824328, 1104, 43.8, 44.1, 0:19.94
74.8, 302.4, 1257500, 823928, 1104, 37.5, 44.0, 0:20.45
74.2, 250.2, 1284428, 819740, 1104, 37.5, 43.8, 0:20.98
70.9, 187.9, 1310168, 821760, 1104, 33.3, 43.9, 0:21.49
71.9, 139.0, 1336700, 821752, 1104, 36.8, 43.9, 0:22.02
71.7, 90.5, 1362968, 819692, 1104, 47.4, 43.8, 0:22.54
65.9, 28.4, 1389632, 822452, 1104, 46.7, 44.0, 0:23.07
72.0, 366.8, 1415108, 822744, 1104, 46.7, 44.0, 0:23.58
772.6, 366.9, 1509620, 917416, 1544, 88.2, 49.0, 0:25.49
732.2, 366.9, 1550276, 958072, 1544, 81.2, 51.2, 0:26.28
691.1, 366.9, 1592780, 977.1m, 1544, 88.2, 53.5, 0:27.12
652.6, 366.9, 1631192, 1.0g, 1544, 93.3, 55.5, 0:27.92
613.7, 366.9, 1671716, 1.0g, 1544, 94.1, 57.7, 0:28.72
574.0, 366.9, 1711712, 1.1g, 1544, 87.5, 59.8, 0:29.50
533.4, 366.9, 1752104, 1.1g, 1544, 81.2, 62.0, 0:30.29
493.9, 366.9, 1793156, 1.1g, 1544, 89.5, 64.2, 0:31.11
453.5, 366.9, 1835132, 1.2g, 1544, 88.2, 66.4, 0:31.93
412.9, 366.9, 1876448, 1.2g, 1544, 88.2, 68.7, 0:32.74
372.2, 366.9, 1918028, 1.3g, 1544, 94.1, 70.9, 0:33.56
332.4, 366.9, 1959608, 1.3g, 1544, 88.2, 73.1, 0:34.37
291.4, 367.0, 1999868, 1.3g, 1544, 93.8, 75.3, 0:35.17
248.6, 367.0, 2041844, 1.4g, 1544, 99.9, 77.5, 0:36.00
207.8, 367.0, 2084216, 1.4g, 1544, 88.9, 79.8, 0:36.81
168.1, 367.0, 2124740, 1.5g, 1544, 93.8, 81.9, 0:37.61
130.2, 367.0, 2164604, 1.5g, 1544, 87.5, 84.0, 0:38.38
90.4, 367.0, 2206052, 1.5g, 1544, 93.8, 86.3, 0:39.20
70.3, 324.1, 2248028, 1.6g, 1544, 93.8, 88.5, 0:40.02
76.0, 233.8, 2358248, 1.6g, 1076, 86.7, 87.8, 0:42.26
62.1, 191.0, 2398508, 1.6g, 1076, 88.9, 88.3, 0:43.06
70.8, 147.8, 2452496, 1.6g, 1076, 94.4, 88.2, 0:44.13
71.5, 110.0, 2490644, 1.6g, 1076, 76.5, 88.1, 0:44.89
72.7, 73.8, 2532092, 1.6g, 1076, 93.3, 88.5, 0:45.72
64.4, 32.7, 2571032, 1.6g, 1076, 99.9, 88.4, 0:46.49
75.9, 0.0, 2610104, 1.6g, 1076, 87.5, 88.6, 0:47.24
1676.9, 729.6, , , , , ,
1676.6, 729.6, , , , , ,
1675.4, 729.6, , , , , ,
1676.8, 729.6, , , , , ,
1675.9, 729.6, , , , , ,
1675.8, 729.6, , , , , ,
1676.0, 729.6, , , , , ,
1675.8, 729.6, , , , , ,
1675.8, 729.6, , , , , ,
1675.5, 729.6, , , , , ,
1675.8, 729.6, , , , , ,
1675.9, 729.6, , , , , ,
1675.8, 729.6, , , , , ,
1675.7, 729.6, , , , , ,
1675.7, 729.6, , , , , ,
1675.7, 729.6, , , , , ,
1675.9, 729.6, , , , , ,
1675.6, 729.6, , , , , ,
1674.3, 729.6, , , , , ,
1674.2, 729.6, , , , , ,
1674.2, 729.6, , , , , ,
1674.1, 729.6, , , , , ,
1674.1, 729.6, , , , , ,
1674.2, 729.6, , , , , ,
1673.9, 729.6, , , , , ,
1674.1, 729.6, , , , , ,
1674.1, 729.6, , , , , ,
1669.8, 730.6, , , , , ,
1668.4, 730.6, , , , , ,
1668.4, 730.6, , , , , ,
1659.1, 730.6, , , , , ,
1658.5, 730.6, , , , , ,
1658.5, 732.3, , , , , ,
1635.5, 732.3, , , , , ,
1635.6, 732.3, , , , , ,
1634.4, 732.3, , , , , ,
1634.4, 732.3, , , , , ,
1634.4, 732.3, , , , , ,
1633.1, 732.3, , , , , ,
1634.4, 732.3, , , , , ,
1634.2, 732.3, , , , , ,
